failed_logins_last_60s,requests_per_minute,votes_in_session,hour_of_day,is_new_ip,session_duration_seconds,admin_actions_per_session,status_is_error
0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,388.0,0.0,0.0
0.0,90.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,14.0,0.0,22.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,2.0,0.0,0.0
0.0,150.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,29.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,8.0,0.0,192.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,7.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,7200.0,0.0,0.0
0.0,120.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,11.0,0.0,74.0,0.0,0.0
0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,1.0,0.0,0.0
0.0,180.0,0.0,19.0,0.0,6165.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,5568.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,4.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,4.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,7.0,0.0,0.0
0.0,60.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,4.0,0.0,0.0
0.0,60.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,18.0,1.0,7200.0,60.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,16.0,0.0,2.0,0.0,0.0
0.0,180.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,249.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,0.0,6.0,0.0
0.0,90.0,0.0,21.0,0.0,29.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,8.0,0.0,0.0
0.0,180.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,16.0,0.0,7200.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,63.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,21.0,0.0,12.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,279.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,33.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,7200.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,1.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,3620.0,0.0,0.0
0.0,60.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,20.0,0.0,93.0,0.0,0.0
0.0,60.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,7200.0,0.0,0.0
0.0,150.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,2005.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,19.0,0.0,7200.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,4823.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,1.0,0.0,0.0
0.0,60.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,13.0,0.0,575.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,20.0,0.0,7200.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,3.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,18.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,14.0,0.0,2644.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,12.0,0.0,4625.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,22.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,3.0,0.0,0.0
0.0,90.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,2.0,0.0,0.0
0.0,200.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,1.0,0.0,0.0
0.0,30.0,0.0,19.0,0.0,17.0,0.0,0.0
0.0,200.0,0.0,12.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,7200.0,2.0,0.0
0.0,30.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,90.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,1.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,2.0,0.0,0.0
0.0,30.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,19.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,20.0,0.0,7200.0,0.0,0.0
0.0,200.0,0.0,8.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,180.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,11.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,150.0,0.0,13.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,120.0,0.0,15.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,22.0,0.0,7200.0,0.0,0.0
0.0,90.0,0.0,17.0,0.0,0.0,0.0,0.0
0.0,60.0,0.0,9.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,16.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,200.0,0.0,15.0,0.0,0.0,0.0,0.0
